transaction_id,account_id,account_type,timestamp,amount,transaction_type,merchant,location,is_foreign,is_high_risk_country,opening_balance,closing_balance,is_fraud,fraud_reasons
a1e961f0-f7ae-45f4-86fa-31d2b8655d05,cb61718a-ec04-4f75-98b6-0d4c03e8df09,credit,2025-01-11T02:17:00.728541,1890.38,purchase,"Allen, Williams and Stein",Lake Jesse,False,False,76817.61,74927.23,False,
3980ee8c-b9e7-412d-8771-58320bae4339,50d02695-0f38-463d-adae-c445ec50f799,checking,2025-04-09T12:38:08.298739,76.88,payment,Love-Garcia,North Tamara,False,False,24705.78,24782.66,False,
1aaf3d72-4bc7-463a-8177-ccb2a1ec92bb,cf1d66fb-9e17-4655-b8c1-f4cf9aaddc05,checking,2025-02-02T08:35:56.817755,259.25,deposit,Russell Group,Santosport,False,False,14823.4,15082.65,False,
31336ae4-46c5-4b40-acee-9b6d9153f714,13643409-b6ec-41dc-9ddd-6c5692b65028,credit,2025-03-27T16:08:48.390888,91393.45,withdrawal,"Brown, Mack and Pearson",New Joanne,False,False,6828.5,-84564.95,True,simulated_high_amount
7f49223d-73a8-4eff-9183-ccb4860feebe,d7961e7d-61cd-4a4c-a1f9-9e85797529a8,savings,2025-04-05T02:16:12.977018,1768.85,payment,Gentry and Sons,Khanburgh,False,False,59255.57,61024.42,False,
d98609f0-fcc7-4891-99ab-e00bdf89c80e,c8a3b6a4-90be-42ce-a95a-6fa84473540a,checking,2025-03-30T08:00:27.358146,1729.89,transfer,Osborn Group,Lopezport,False,False,38780.31,37050.42,False,
56309884-61a4-4e3b-b740-ef5951c2813a,c6703a72-76c7-491b-a20c-ed9426996dd3,checking,2025-02-22T19:49:39.737780,54.45,deposit,Evans PLC,West Justinside,False,False,87993.47,88047.92,False,
b75bc378-03a7-4b4e-adf4-80b48d33ffe3,1231f87d-e838-4606-80d8-1a004207222c,savings,2025-02-03T07:36:36.795818,1605.46,deposit,Rosales Group,Jamesville,False,False,87922.95,89528.41,False,
19f1c76e-2c5e-44bb-8b08-ac013e6613dc,079f1024-b8a5-4511-9b33-fc850f0f09e5,checking,2025-03-09T22:44:05.062755,322.6,withdrawal,"Stevens, Scott and Lopez",Krystalshire,False,False,90061.79,89739.19,False,
0bccd468-e6e0-4234-9c46-b3c2bbb7b554,e26e52b6-5bda-4895-b09b-2a8fc75c06e5,checking,2025-02-03T00:56:33.366167,1717.89,Unusual Transaction,Thompson Ltd,Wilcoxhaven,False,False,10574.92,8857.03,True,simulated_unusual_type
20edb05f-1222-44d9-beb5-0c30c8f3c417,9647a9ea-1846-49f6-82a3-3d321835f1a7,savings,2025-01-25T23:47:23.662145,1641.97,withdrawal,Caldwell-Lopez,South Marcus,False,False,73243.45,71601.48,False,
62cf33d1-98d3-4cd8-be92-70f037b3c1c9,59fc4189-9336-46ca-8bfa-66780e3d9d84,credit,2025-02-28T16:25:06.280767,1321.77,purchase,Reyes-Griffin,Stephanieport,False,False,70431.17,69109.4,False,
ca573845-199f-4093-9d4f-cfd971604e72,cfebf3cf-8f60-4b1f-bd7a-8c1b9a0b9580,checking,2025-01-17T02:12:10.970685,1933.94,purchase,"Smith, Valdez and Schwartz",Lake Davidport,False,False,58157.86,56223.92,False,
903d2205-1c6e-4c47-9111-c191a420f799,fb4b076e-a06e-475b-ad77-9725b8ea4fdd,savings,2025-02-07T00:44:20.487907,665.64,payment,"Shaw, Jacobson and Padilla",Hannahport,True,False,76121.93,76787.57,False,
